"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8350579.68683733 19335388.9686698 5702062.64161618 139907.109407364 229971.563988227 38554.7902167237 177995.506865305 177624.173363588 20239.3139200501 87669.4287545532 226067.129735476 45048.7954994665 243.993456992883 5223.99120182756 6549.7352334566 3408861.94783581 6876732.3331714 1241594.84963913 1.32684265005978 85.8398696348515 332.380780227023 0 0 180015.364806261 0 0 107.978513155428 0 0 3.25937275625204 0 0 2.61823406458865 0 0 0.252679265323082 0 0 39468.0169098067 0 0 0.0025794577153561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1202288.34783932
"3" 2 8325619.88955558 19279876.1551852 5515520.90377822 140676.31554167 244549.214891708 39015.9088519488 174602.525987567 175764.507964603 19880.6957118202 85998.2590685029 223700.28286404 44250.5807779224 239.416371097087 5174.59888115811 6436.39116564258 3438119.96634532 6921858.72554917 1210021.7332935 2.6271302630335 170.514664156951 658.471644019774 0 0 359061.340712149 0 0 409.850229334668 0 0 24.3238935459677 0 0 19.5392339042291 0 0 1.88205411550833 0 0 78678.3397666914 0 0 0.0388871935139241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1092989.43699824
"4" 3 8300676.98732319 19223782.8976588 5329389.89072349 141308.577366359 257352.161911088 39250.1161168306 171642.26453789 175066.376672155 19575.3835528823 84540.2198470205 222811.752128198 43571.0150048026 235.465950571374 5161.58248176192 6341.2441625226 3466851.58045594 6966664.53656079 1178079.86307567 3.9045190284173 254.692587172853 979.350904704368 0 0 537630.361103019 0 0 878.749438757574 0 0 76.9159533221001 0 0 61.7861116719294 0 0 5.94014119102446 0 0 118139.197309258 0 0 0.186401883061155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 983690.526157155
"5" 4 8275723.61662403 19167057.3427237 5143670.59589809 141850.654223779 268708.895897337 39296.0047210824 169056.977706938 175294.246779306 19308.3549646054 83266.8696168498 223101.768628207 42976.6610502507 232.053651456522 5177.24046344871 6258.94396829818 3495123.66604253 7011415.60413709 1145782.68835511 5.16213441444589 338.901370937843 1295.79290129201 0 0 715713.655661025 0 0 1492.68701061456 0 0 171.207268605849 0 0 137.529744613951 0 0 13.1978289370475 0 0 157862.121645138 0 0 0.558982335878107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 874391.615316071
"6" 5 8250736.77918141 19109661.1325594 4958366.81502547 142337.901141856 278883.526442155 39184.1259281669 166799.440679509 176258.207715716 19067.7331346148 82154.9483943847 224328.62800182 42441.0834286588 229.107485139602 5215.40123283708 6185.29085683557 3522994.42044595 7056323.54788271 1113137.8385508 6.40267175765957 423.556165391072 1608.33325201616 0 0 893301.272919261 0 0 2233.60098531907 0 0 314.571959324712 0 0 252.693717859826 0 0 24.2058043639873 0 0 197861.137592424 0 0 1.2968448847979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 765092.704474988
"7" 6 8225697.13407108 19051566.9042197 4773484.63366717 142796.722548281 288088.264412146 38938.6639805767 164830.73922414 177805.084085879 18844.1300219413 81185.2894686062 226297.379745664 41943.3861778694 226.568518910753 5271.12091918739 6116.991960562 3550514.91769346 7101556.26470657 1080148.2724164 7.62847552565269 508.981910885714 1917.32026987107 0 0 1070382.3048994 0 0 3086.59704455665 0 0 512.186439811301 0 0 411.436213167707 0 0 39.3429161507012 0 0 238152.175261202 0 0 2.55873131537766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 655793.793633904
"8" 7 8200588.42781345 18992756.2797558 4589032.02491861 143246.512326623 296493.485515906 38578.7647876124 163118.529294984 179811.270015218 18630.1260296401 80341.9621900665 228850.707292096 41467.0547111344 224.388121287538 5340.44016720822 6051.46864398003 3577730.33865169 7147246.38595177 1046813.18220597 8.8416018971613 595.431302023173 2222.95551527379 0 0 1246945.05784354 0 0 4039.33880591935 0 0 767.507715891727 0 0 616.534222030221 0 0 58.8545849857578 0 0 278752.614211316 0 0 4.51580408838512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 546494.88279282
"9" 8 8175397.03550302 18933218.2535532 4405018.53604973 143701.183723932 304235.829151292 38119.5887261122 161635.669508014 182176.962891566 18419.8588590457 79611.5984143947 231861.58913472 40999.040686263 222.525799157965 5420.18885265296 5986.70463755269 3604680.94318337 7193498.07724173 1013128.70048045 10.0438681118923 683.09917481194 2525.32569091263 0 0 1422977.17955449 0 0 5081.5579773505 0 0 1082.65346882127 0 0 869.688864759515 0 0 82.8831944397809 0 0 319680.934885334 0 0 7.34692474506993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 437195.971951736
"10" 9 8150111.59004229 18872947.8965683 4222912.57664956 144170.376345253 311424.724186534 37573.2771015653 160359.14584976 184821.51842621 18208.6986521952 78982.8628812249 235227.387087903 40529.0389355313 220.947498515942 5507.82914988181 5921.1263390753 3631402.84049148 7240392.51054642 979426.342141338 11.2368914794132 772.134034720009 2824.42774135109 0 0 1597008.22159602 0 0 6204.52842778542 0 0 1458.70347460415 0 0 1171.76751877075 0 0 111.492077242106 0 0 360618.5643237 0 0 11.2350212614463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 329692.615223375
"11" 10 8124722.68009249 18811945.3092347 4099271.10806212 144660.412656376 318147.677082376 36990.0963416862 159269.221980066 187679.688378938 17993.6551940613 78446.0347065998 238865.05793683 40050.3938190396 219.624262915917 5601.32875766743 5853.74214309716 3657928.60418112 7287992.29127076 958882.892154944 12.422120435435 862.647338733836 3120.19181596129 0 0 1712479.82881599 0 0 7360.26779570805 0 0 1894.67403624701 0 0 1521.97998632654 0 0 144.586408418325 0 0 388400.220169281 0 0 16.3632571268644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 293758.118034749
"12" 11 8099222.60831943 18750214.7924576 3995077.34138629 145175.040304975 324474.474642644 36421.7150104188 158348.781088027 190698.632167315 17774.8933090391 77992.6832224609 242707.350031128 39563.4722039903 218.531195447855 5699.0605029735 5784.66972181176 3684287.75501083 7336344.96938103 942569.420022088 13.6008588347012 954.720817259884 3412.52652339754 0 0 1808407.94614334 0 0 8498.52521376196 0 0 2384.43974660323 0 0 1915.40576558496 0 0 181.676151633254 0 0 411965.065853448 0 0 22.9029485980741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 281498.987521958
"13" 12 8073605.19119116 18687764.1705878 3891212.76270109 145716.025412774 330460.623367842 35874.807044601 157582.800640102 193835.473759516 17553.7426146256 77615.409270498 246699.693875747 39071.2335615862 217.646631198403 5799.72051798529 5714.42836422645 3710507.15256868 7385485.90547381 926032.46972146 14.7742855879113 1048.41241726097 3701.35990157362 0 0 1903910.71557762 0 0 9613.3872884766 0 0 2920.36298786424 0 0 2345.90960519116 0 0 222.159620438564 0 0 435775.658634055 0 0 31.0023771971042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 269354.664095172
"14" 13 8047865.59434883 18624604.245225 3787589.50219431 146283.618003535 336150.117498812 35342.9910103452 156957.941435077 197055.340235022 17331.2823580795 77307.6427963813 250797.705753664 38576.0800873383 216.951490642996 5902.26278826347 5643.44010947473 3736611.30845524 7435440.56746618 909247.629397673 15.9434702921525 1143.76103305894 3986.64448406874 0 0 1999076.04345497 0 0 10711.5014358484 0 0 3495.86235517161 0 0 2808.20470314922 0 0 265.522287506592 0 0 459864.508962098 0 0 40.7871599710533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257210.340668384
"15" 14 8022000.19803057 18560748.3588554 3684213.03003901 146876.912905955 341577.643112519 34820.6809233727 156462.229449251 200329.804487243 17108.2056165475 77063.4861466462 254965.205711036 38079.5544368316 216.428779768675 6005.84739404771 5571.98383061001 3762622.63530221 7486226.35021272 892212.530213043 17.1093855952711 1240.79022700925 4268.35031400724 0 0 2093898.85340537 0 0 11798.3494262694 0 0 4105.57391206863 0 0 3297.98224233342 0 0 311.348025564774 0 0 484241.193346637 0 0 52.364268342778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 245066.017241596
