"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8352733.69900294 19340150.6159387 5881420.19878261 137926.774018654 225592.527376057 38070.3486260634 177883.484109832 177464.187042963 20227.0807895607 87614.2533675292 225863.510781953 45021.5669186996 243.826529046492 5218.87769097942 6545.43234904444 3408855.6364344 6876718.4695466 1280386.53873956 1.32653760559275 85.8116227151999 332.30491797984 0 0 1301.37508321419 0 0 0.59124209787387 0 0 0.0127641280642051 0 0 0.0284104785945211 0 0 0.00449007329348821 0 0 674.516810079604 0 0 0.0000764133360275762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349645.72651691
"3" 2 8330068.2441514 19289811.6555379 5842685.80269787 136900.243423326 236105.68586195 38267.0882490887 174184.609742883 175163.12834359 19840.817900609 85792.4197241063 222934.890619115 44161.8204884523 238.795214386795 5155.42630640682 6422.40427163231 3438072.0629245 6921752.91385136 1281029.95679442 2.62481939859802 170.299479620658 657.950301617044 0 0 33237.3466052491 0 0 19.3043252839419 0 0 0.344614503713709 0 0 0.767045185685352 0 0 0.121244688021414 0 0 7656.27351076428 0 0 0.00195063347021228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"4" 3 8307568.70248716 19239327.2771683 5803939.68463692 135884.175130024 245087.970265534 38407.1334350948 170762.991072144 173791.411054021 19502.7712170801 84107.1448564289 221189.068614208 43409.3939993074 234.162322354628 5121.03552315787 6315.85242088093 3466697.92701134 6966323.23760494 1281477.83826572 3.89712054428906 253.999769791444 977.84142830241 0 0 65175.8058218278 0 0 69.148524531233 0 0 2.23758545788213 0 0 4.98043214818927 0 0 0.785941813686722 0 0 14696.5047774079 0 0 0.0215135085724948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"5" 4 8285214.82159544 19188664.2097322 5765256.7853327 134895.470802828 252812.238562699 38503.9368789465 167591.611408464 173153.098292908 19205.6113803348 82545.1220370047 220376.670554609 42747.9737175195 229.886322382468 5109.30925994547 6223.13413272068 3494776.94236422 7010641.14155706 1281765.01132689 5.14546966048122 337.332040519186 1292.73733381086 0 0 97036.7492939036 0 0 145.352475470928 0 0 6.83301896647223 0 0 15.2089776995672 0 0 2.39568808434724 0 0 21778.1736402503 0 0 0.0968027070830969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"6" 5 8262989.41382343 19137799.1434235 5726633.14514376 133945.547512922 259499.015670318 38567.6765804954 164647.822511704 173090.223272381 18943.3141393961 81095.1961624809 220296.647801212 42164.1508263977 225.932617521925 5115.12353833704 6142.09103420657 3522348.7156806 7054873.22394603 1281906.21013875 6.37169134354815 420.622348225919 1603.27693952768 0 0 128820.268923651 0 0 243.950269343701 0 0 14.953858178981 0 0 33.2843940112803 0 0 5.23333629235452 0 0 28902.1615960958 0 0 0.282819896704046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"7" 6 8240877.86666973 19086716.7876195 5688065.88135931 133041.654602466 265326.558856157 38605.9891411858 161912.362528021 173475.467557353 18710.891390488 79747.880051115 220786.958709358 41646.8227723766 222.271988546621 5134.37746657286 6070.94842356319 3549449.38672102 7099149.72790603 1281914.00566683 7.57743910283762 504.121884998542 1910.00074839867 0 0 160526.355096353 0 0 361.640216371036 0 0 27.1715845398021 0 0 60.4786881692369 0 0 9.49206012865294 0 0 36069.6764206287 0 0 0.646431665992554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"8" 7 8218867.74569411 19035408.3064688 5649552.98594408 132187.8973374 270438.983644435 38624.5492395096 159368.604016568 174206.249181486 18504.1803391009 78494.9840678618 221717.0444128 41186.7239805793 218.879401373897 5163.79259437346 6008.23642423578 3576112.12526174 7143571.60174188 1281799.17021795 8.76422094435419 588.021956250228 2213.36805629683 0 0 192154.921581285 0 0 495.665044027165 0 0 43.8600695114985 0 0 97.6240256868838 0 0 15.2950469173861 0 0 43282.1576529546 0 0 1.26237786140781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"9" 8 8196948.47127652 18983870.0579657 5611093.16231406 131386.031008137 274952.826898692 38627.5230675711 157001.979355291 175199.947623066 18319.6781505579 77329.3331152923 222981.751520266 40776.0578189836 215.733094583249 5200.75122581295 5952.72817705972 3602367.51873085 7188216.19874415 1281570.96871935 9.93341933189585 672.46602233674 2513.7706537962 0 0 223705.825317824 0 0 643.714367287776 0 0 65.2388525862595 0 0 145.20905898232 0 0 22.7112554237959 0 0 50541.2020811791 0 0 2.21016534760658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
"10" 9 8175111.05475944 18932102.5784602 5572685.69353998 130636.074584428 278962.342047428 38617.9220618255 154799.54326691 176390.051751108 18154.4123814362 76244.551161314 224496.42950141 40408.2082038418 212.813883506493 5243.16631677172 5903.3914326578 3628243.87603757 7233141.87256052 1281237.39221869 11.0863068312039 757.55936256332 2811.54376255178 0 0 255178.882220063 0 0 803.845218554195 0 0 91.4078219078522 0 0 203.456119730381 0 0 31.7679833462357 0 0 57848.5053624499 0 0 3.57167296591803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1349743.42139747
